task,total_num_tc,gen_consistency,LLMJudge,Q-Testsuite,Q-Context,total_num_stu,num_passed_stu,passed_stus
task_0,5,0,1,0.0,1,20,0,[]
task_1,0,0,1,0.0,1,20,0,[]
task_2,5,0,1,0.0,1,20,0,[]
task_3,5,0,1,0.0,1,20,0,[]
task_4,5,1,1,1.0,1,20,8,"['gpt-4o-mini-2024-07-18_temp-1.0_0', 'gpt-4o-mini-2024-07-18_temp-1.0_3', 'gpt-4o-mini-2024-07-18_temp-1.0_6', 'gpt-4o-mini-2024-07-18_temp-1.0_7', 'gpt-4o-mini-2024-07-18_temp-1.0_8', 'gpt-4o-mini-2024-07-18_temp-1.0_9', 'gpt-4o-mini-2024-07-18_temp-1.0_18', 'gpt-4o-mini-2024-07-18_temp-1.0_19']"
task_5,4,0,0,0.0,1,20,0,[]
task_6,0,0,1,0.0,1,20,0,[]
task_7,3,0,1,0.0,1,20,0,[]
task_8,5,1,1,1.0,1,20,3,"['gpt-4o-mini-2024-07-18_temp-1.0_3', 'gpt-4o-mini-2024-07-18_temp-1.0_8', 'gpt-4o-mini-2024-07-18_temp-1.0_17']"
task_9,0,0,1,0.0,1,20,0,[]
