task,total_num_tc,gen_consistency,LLMJudge,Q-Testsuite,Q-Context,total_num_stu,num_passed_stu,passed_stus
task_0,0,0,1,0.0,1,20,0,[]
task_1,5,0,1,0.0,1,20,0,[]
task_2,5,0,1,0.0,1,20,0,[]
task_3,5,0,1,0.0,1,20,0,[]
task_4,5,0,1,0.0,1,20,0,[]
task_5,5,0,1,0.0,1,20,0,[]
task_6,5,0,1,0.0,1,20,0,[]
task_7,5,1,1,1.0,1,20,5,"['gpt-4o-mini-2024-07-18_temp-1.0_6', 'gpt-4o-mini-2024-07-18_temp-1.0_16', 'gpt-4o-mini-2024-07-18_temp-1.0_17', 'gpt-4o-mini-2024-07-18_temp-1.0_18', 'gpt-4o-mini-2024-07-18_temp-1.0_19']"
task_8,5,1,1,1.0,1,20,4,"['gpt-4o-mini-2024-07-18_temp-1.0_2', 'gpt-4o-mini-2024-07-18_temp-1.0_8', 'gpt-4o-mini-2024-07-18_temp-1.0_9', 'gpt-4o-mini-2024-07-18_temp-1.0_19']"
task_9,5,0,1,0.0,1,20,0,[]
